,225
0,242
1,245
2,246
3,247
4,250
5,252
6,253
7,254
8,259
9,261
10,263
11,264
12,265
13,268
14,270
15,271
16,273
17,277
18,280
19,281
20,282
21,285
22,286
23,288
24,289
25,294
26,296
27,298
28,299
29,300
30,304
31,306
32,309
33,316
34,337
35,338
36,340
37,342
38,343
39,345
40,347
41,348
42,353
43,356
44,360
45,367
46,368
47,399
48,401
49,415
50,417
51,419
52,432
53,434
54,436
55,437
56,438
57,455
58,458
59,460
60,461
61,462
62,464
63,465
64,466
65,467
66,469
67,477
68,478
69,479
70,480
71,481
72,483
73,484
74,485
75,487
76,490
77,492
78,493
79,496
80,498
81,499
82,500
83,501
84,504
85,506
86,507
87,509
88,512
89,519
90,521
91,526
92,529
93,532
94,536
95,538
96,541
97,542
98,545
99,550
100,551
101,551
102,552
103,552
104,560
105,561
106,562
107,564
108,566
109,571
110,572
111,574
112,575
113,577
114,584
115,585
116,587
117,588
118,591
119,593
120,600
121,602
122,604
123,609
124,612
125,620
126,623
127,625
128,625
129,626
130,634
131,635
132,637
133,639
134,641
135,649
136,650
137,651
138,651
139,652
140,667
141,668
142,669
143,670
144,670
145,680
146,681
147,682
148,683
149,685
150,696
151,698
152,700
153,701
154,702
155,715
156,716
157,717
158,718
159,718
160,719
161,732
162,733
163,734
164,735
165,737
166,737
167,738
168,741
169,742
170,743
171,745
172,747
173,748
174,749
175,750
176,751
177,752
178,753
179,753
180,754
181,756
182,758
183,759
184,760
185,761
186,762
187,763
188,766
189,768
190,779
191,780
192,781
193,781
194,782
195,783
196,783
197,784
198,785
199,786
200,786
201,786
202,787
203,787
204,788
205,789
206,790
207,791
208,791
209,792
210,794
211,795
212,796
213,797
214,798
215,799
216,801
217,802
218,802
219,803
220,803
221,804
222,805
223,805
224,806
225,806
226,806
227,807
228,807
229,808
230,809
231,810
232,811
233,812
234,812
235,814
236,815
237,820
238,822
239,825
240,827
241,843
242,845
243,846
244,848
245,852
246,854
247,874
248,877
249,878
250,879
251,880
252,882
253,896
254,897
255,899
256,900
257,900
258,901
259,901
260,914
261,915
262,915
263,915
264,916
265,916
266,917
267,917
268,917
269,917
270,918
271,919
272,919
273,919
274,920
275,920
276,935
277,936
278,937
279,939
280,940
281,942
282,964
283,964
284,965
285,965
286,965
287,966
288,966
289,968
290,980
291,981
292,982
293,983
294,983
295,995
296,996
297,997
298,997
299,997
300,1010
301,1011
302,1012
303,1013
304,1013
305,1014
306,1015
307,1016
308,1016
309,1031
310,1031
311,1031
312,1032
313,1032
314,1032
315,1033
316,1033
317,1034
318,1034
319,1035
320,1035
321,1036
322,1036
323,1037
324,1039
325,1052
326,1053
327,1053
328,1054
329,1054
330,1056
331,1058
332,1059
333,1061
334,1061
335,1071
336,1072
337,1072
338,1073
339,1074
340,1075
341,1076
342,1076
343,1077
344,1078
345,1078
346,1089
347,1091
348,1092
349,1093
350,1094
351,1103
352,1104
353,1107
354,1108
355,1109
356,1111
357,1124
358,1125
359,1126
360,1127
361,1128
362,1128
363,1129
364,1129
365,1143
366,1144
367,1145
368,1145
369,1146
370,1146
371,1147
372,1147
373,1148
374,1148
375,1162
376,1163
377,1163
378,1164
379,1164
380,1164
381,1165
382,1165
383,1165
384,1166
385,1166
386,1166
387,1166
388,1167
389,1167
390,1167
391,1167
392,1167
393,1168
394,1168
395,1169
396,1169
397,1169
398,1169
399,1169
400,1170
401,1170
402,1170
403,1170
404,1170
405,1170
406,1171
407,1171
408,1171
409,1171
410,1171
411,1171
412,1172
413,1172
414,1172
415,1172
416,1173
417,1174
418,1174
419,1174
420,1174
421,1175
422,1175
423,1175
424,1175
425,1176
426,1176
427,1176
428,1176
429,1177
430,1177
431,1177
432,1177
433,1177
434,1177
435,1178
436,1178
437,1178
438,1178
439,1178
440,1179
441,1179
442,1199
443,1200
444,1200
445,1200
446,1200
447,1200
448,1202
449,1203
450,1203
451,1203
452,1204
453,1204
454,1204
455,1204
456,1204
457,1205
458,1205
459,1205
460,1206
461,1206
462,1206
463,1206
464,1207
465,1207
466,1207
467,1207
468,1207
469,1208
470,1208
471,1208
472,1208
473,1208
474,1209
475,1209
476,1209
477,1209
478,1209
479,1210
480,1210
481,1210
482,1210
483,1211
484,1211
485,1212
486,1212
487,1213
488,1213
489,1213
490,1214
491,1214
492,1214
493,1214
494,1214
495,1215
496,1215
497,1215
498,1215
499,1215
500,1216
501,1216
502,1216
503,1216
504,1217
505,1217
506,1217
507,1217
508,1218
509,1218
510,1218
511,1218
512,1218
513,1219
514,1219
515,1219
516,1219
517,1220
518,1220
519,1220
520,1220
521,1221
522,1221
523,1221
524,1221
525,1221
526,1222
527,1222
528,1222
529,1222
530,1222
531,1223
532,1223
533,1223
534,1223
535,1223
536,1224
537,1224
538,1224
539,1224
540,1225
541,1225
542,1225
543,1225
544,1225
545,1226
546,1226
547,1226
548,1227
549,1227
550,1228
551,1228
552,1228
553,1229
554,1229
555,1230
556,1230
557,1230
558,1231
559,1231
560,1231
561,1232
562,1232
563,1232
564,1233
565,1233
566,1233
567,1233
568,1234
569,1234
570,1234
571,1234
572,1234
573,1235
574,1235
575,1235
576,1236
577,1236
578,1236
579,1236
580,1236
581,1237
582,1237
583,1237
584,1237
585,1238
586,1238
587,1239
588,1239
589,1239
590,1240
591,1240
592,1241
593,1241
594,1241
595,1242
596,1242
597,1242
598,1243
599,1243
600,1243
601,1244
602,1244
603,1245
604,1245
605,1245
606,1246
607,1246
608,1246
609,1247
610,1247
611,1247
612,1248
613,1248
614,1248
615,1249
616,1249
617,1249
618,1249
619,1250
620,1250
621,1250
622,1250
623,1251
624,1251
625,1251
626,1251
627,1252
628,1252
629,1252
630,1252
631,1253
632,1253
633,1253
634,1253
635,1254
636,1254
637,1255
638,1256
639,1256
640,1257
641,1257
642,1258
643,1258
644,1259
645,1259
646,1260
647,1260
648,1261
649,1262
650,1262
651,1263
652,1263
653,1263
654,1263
655,1263
656,1264
657,1264
658,1264
659,1265
660,1265
661,1265
662,1265
663,1265
664,1266
665,1266
666,1266
667,1266
668,1266
669,1267
670,1267
671,1267
672,1267
673,1267
674,1268
675,1268
676,1268
677,1268
678,1268
679,1269
680,1269
681,1269
682,1269
683,1269
684,1269
685,1270
686,1270
687,1270
688,1270
689,1271
690,1273
691,1273
692,1273
693,1273
694,1274
695,1274
696,1274
697,1274
698,1275
699,1275
700,1276
701,1276
702,1276
703,1276
704,1277
705,1277
706,1277
707,1277
708,1277
709,1277
710,1278
711,1278
712,1278
713,1278
714,1278
715,1278
716,1279
717,1279
718,1279
719,1280
720,1280
721,1280
722,1280
723,1281
724,1281
725,1281
726,1282
727,1282
728,1282
729,1283
730,1283
731,1283
732,1284
733,1284
734,1284
735,1284
736,1285
737,1285
738,1285
739,1286
740,1286
741,1286
742,1286
743,1287
744,1287
745,1287
746,1288
747,1288
748,1288
749,1289
750,1289
751,1289
752,1289
753,1290
754,1290
755,1291
756,1291
757,1291
758,1291
759,1292
760,1292
761,1292
762,1292
763,1292
764,1293
765,1293
766,1293
767,1293
768,1294
769,1294
770,1295
771,1295
772,1295
773,1296
774,1296
775,1296
776,1296
777,1297
778,1297
779,1297
780,1298
781,1298
782,1298
783,1298
784,1299
785,1299
786,1299
787,1299
788,1299
789,1300
790,1300
791,1300
792,1300
793,1300
794,1312
795,1312
796,1312
797,1313
798,1313
799,1313
800,1313
801,1314
802,1314
803,1314
804,1314
805,1314
806,1315
807,1315
808,1315
809,1315
810,1315
811,1315
812,1315
813,1315
814,1316
815,1316
816,1316
817,1316
818,1316
819,1316
820,1317
821,1317
822,1317
823,1317
824,1317
825,1317
826,1318
827,1318
828,1318
829,1318
830,1318
831,1318
832,1319
833,1319
834,1319
835,1319
836,1319
837,1319
838,1319
839,1320
840,1320
841,1320
842,1320
843,1320
844,1321
845,1321
846,1321
847,1321
848,1321
849,1322
850,1322
851,1322
852,1322
853,1322
854,1323
855,1323
856,1323
857,1323
858,1323
859,1323
860,1323
861,1323
862,1323
863,1323
864,1324
865,1324
866,1324
867,1324
868,1324
869,1324
870,1324
871,1324
872,1325
873,1325
874,1325
875,1325
876,1325
877,1325
878,1325
879,1325
880,1326
881,1326
882,1326
883,1326
884,1326
885,1326
886,1326
887,1326
888,1326
889,1327
890,1327
891,1327
892,1327
893,1327
894,1328
895,1328
896,1328
897,1328
898,1328
899,1329
900,1329
901,1329
902,1329
903,1330
904,1330
905,1330
906,1330
907,1331
908,1331
909,1331
910,1331
911,1332
912,1332
913,1332
914,1332
915,1333
916,1333
917,1333
918,1333
919,1333
920,1334
921,1334
922,1334
923,1334
924,1334
925,1334
926,1335
927,1335
928,1335
929,1335
930,1335
931,1335
932,1335
933,1336
934,1336
935,1336
936,1336
937,1336
938,1336
939,1336
940,1336
941,1337
942,1337
943,1337
944,1337
945,1337
946,1337
947,1338
948,1338
949,1338
950,1338
951,1338
952,1339
953,1339
954,1339
955,1340
956,1340
957,1340
958,1341
959,1341
960,1341
961,1341
962,1341
963,1341
964,1341
965,1342
966,1342
967,1342
968,1342
969,1343
970,1343
971,1343
972,1343
973,1343
974,1344
975,1344
976,1344
977,1344
978,1344
979,1344
980,1344
981,1345
982,1345
983,1345
984,1345
985,1345
986,1345
987,1345
988,1345
989,1345
990,1346
991,1346
992,1346
993,1346
994,1346
995,1346
996,1346
997,1346
998,1347
999,1347
1000,1347
1001,1347
1002,1347
1003,1347
1004,1347
1005,1347
1006,1347
1007,1347
1008,1347
1009,1348
1010,1348
1011,1348
1012,1348
1013,1348
1014,1348
1015,1348
1016,1348
1017,1348
1018,1349
1019,1349
1020,1349
1021,1349
1022,1349
1023,1349
1024,1350
1025,1350
1026,1350
1027,1351
1028,1351
1029,1351
1030,1351
1031,1351
1032,1352
1033,1352
1034,1352
1035,1352
1036,1352
1037,1352
1038,1352
1039,1353
1040,1353
1041,1353
1042,1353
1043,1353
1044,1353
1045,1353
1046,1354
1047,1354
1048,1354
1049,1355
1050,1355
1051,1356
1052,1356
1053,1356
1054,1356
1055,1357
1056,1357
1057,1357
1058,1357
1059,1358
1060,1358
1061,1358
1062,1358
1063,1359
1064,1359
1065,1359
1066,1359
1067,1359
1068,1360
1069,1360
1070,1360
1071,1360
1072,1360
1073,1360
1074,1361
1075,1361
1076,1362
1077,1370
1078,1370
1079,1371
1080,1371
1081,1371
1082,1371
1083,1372
1084,1372
1085,1372
1086,1373
1087,1373
1088,1373
1089,1373
1090,1373
1091,1373
1092,1374
1093,1374
1094,1374
1095,1374
1096,1374
1097,1374
1098,1374
1099,1374
1100,1375
1101,1375
1102,1375
1103,1375
1104,1375
1105,1375
1106,1376
1107,1376
1108,1376
1109,1376
1110,1376
1111,1376
1112,1376
1113,1376
1114,1376
1115,1377
1116,1377
1117,1377
1118,1377
1119,1377
1120,1377
1121,1377
1122,1377
1123,1377
1124,1377
1125,1377
1126,1378
1127,1378
1128,1378
1129,1378
1130,1378
1131,1378
1132,1378
1133,1378
1134,1378
1135,1379
1136,1379
1137,1379
1138,1379
1139,1379
1140,1379
1141,1379
1142,1379
1143,1379
1144,1380
1145,1380
1146,1380
1147,1380
1148,1380
1149,1380
1150,1380
1151,1380
1152,1381
1153,1381
1154,1381
1155,1381
1156,1381
1157,1381
1158,1382
1159,1382
1160,1382
1161,1382
1162,1382
1163,1382
1164,1382
1165,1382
1166,1383
1167,1383
1168,1383
1169,1383
1170,1383
1171,1384
1172,1384
1173,1384
1174,1384
1175,1384
1176,1384
1177,1385
1178,1385
1179,1385
1180,1385
1181,1385
1182,1386
1183,1386
1184,1386
1185,1386
1186,1386
1187,1387
1188,1387
1189,1387
1190,1387
1191,1387
1192,1387
1193,1388
1194,1388
1195,1389
1196,1390
1197,1390
1198,1390
1199,1391
1200,1391
1201,1391
1202,1391
1203,1392
1204,1392
1205,1392
1206,1392
1207,1393
1208,1393
1209,1393
1210,1393
1211,1393
1212,1393
1213,1393
1214,1394
1215,1394
1216,1394
1217,1394
1218,1395
1219,1395
1220,1395
1221,1395
1222,1395
1223,1396
1224,1396
1225,1396
1226,1396
1227,1397
1228,1397
1229,1397
1230,1397
1231,1397
1232,1398
1233,1398
1234,1398
1235,1398
1236,1399
1237,1399
1238,1399
1239,1399
1240,1400
1241,1400
1242,1400
1243,1400
1244,1400
1245,1400
1246,1401
1247,1401
1248,1401
1249,1401
1250,1401
1251,1402
1252,1402
1253,1402
1254,1402
1255,1402
1256,1403
1257,1403
1258,1403
1259,1403
1260,1403
1261,1404
1262,1404
1263,1404
1264,1404
1265,1404
1266,1405
1267,1406
1268,1406
1269,1407
1270,1407
1271,1407
1272,1407
1273,1407
1274,1407
1275,1407
1276,1408
1277,1408
1278,1408
1279,1408
1280,1408
1281,1408
1282,1408
1283,1409
1284,1409
1285,1409
1286,1409
1287,1409
1288,1409
1289,1409
1290,1409
1291,1409
1292,1409
1293,1410
1294,1410
1295,1410
1296,1410
1297,1410
1298,1410
1299,1411
1300,1411
1301,1411
1302,1411
1303,1411
1304,1411
1305,1411
1306,1412
1307,1412
1308,1412
1309,1412
1310,1412
1311,1412
1312,1412
1313,1413
1314,1413
1315,1413
1316,1413
1317,1413
1318,1414
1319,1414
1320,1414
1321,1414
1322,1414
1323,1414
1324,1415
1325,1415
1326,1415
1327,1415
1328,1415
1329,1415
1330,1415
1331,1416
1332,1416
1333,1416
1334,1416
1335,1416
1336,1416
1337,1416
1338,1417
1339,1417
1340,1417
1341,1417
1342,1417
1343,1417
1344,1417
1345,1417
1346,1418
1347,1418
1348,1418
1349,1418
1350,1418
1351,1418
1352,1418
1353,1418
1354,1418
1355,1418
1356,1418
1357,1418
1358,1418
1359,1419
1360,1419
1361,1419
1362,1419
1363,1419
1364,1419
1365,1419
1366,1419
1367,1419
1368,1419
1369,1419
1370,1420
1371,1420
1372,1420
1373,1420
1374,1421
1375,1422
1376,1423
1377,1423
1378,1424
1379,1424
1380,1424
1381,1424
1382,1425
1383,1425
1384,1425
1385,1425
1386,1425
1387,1426
1388,1426
1389,1426
1390,1426
1391,1427
1392,1427
1393,1427
1394,1427
1395,1427
1396,1427
1397,1427
1398,1428
1399,1428
1400,1428
1401,1428
1402,1428
1403,1428
1404,1428
1405,1429
1406,1429
1407,1429
1408,1429
1409,1429
1410,1429
1411,1429
1412,1429
1413,1430
1414,1430
1415,1430
1416,1430
1417,1430
1418,1430
1419,1431
1420,1431
1421,1431
1422,1431
1423,1431
1424,1431
1425,1431
1426,1431
1427,1432
1428,1432
1429,1432
1430,1432
1431,1432
1432,1432
1433,1432
1434,1432
1435,1432
1436,1433
1437,1433
1438,1433
1439,1433
1440,1433
1441,1433
1442,1434
1443,1434
1444,1434
1445,1434
1446,1434
1447,1434
1448,1435
1449,1435
1450,1435
1451,1435
1452,1435
1453,1435
1454,1436
1455,1436
1456,1436
1457,1436
1458,1436
1459,1436
1460,1436
1461,1436
1462,1437
1463,1437
1464,1437
1465,1437
1466,1437
1467,1437
1468,1437
1469,1448
1470,1448
1471,1448
1472,1448
1473,1448
1474,1449
1475,1449
1476,1449
1477,1450
1478,1450
1479,1450
1480,1450
1481,1450
1482,1450
1483,1450
1484,1451
1485,1451
1486,1451
1487,1451
1488,1451
1489,1451
1490,1452
1491,1452
1492,1452
1493,1452
1494,1452
1495,1452
1496,1452
1497,1452
1498,1452
1499,1453
1500,1453
1501,1453
1502,1453
1503,1453
1504,1453
1505,1453
1506,1453
1507,1453
1508,1454
1509,1454
1510,1454
1511,1454
1512,1454
1513,1454
1514,1454
1515,1454
1516,1454
1517,1454
1518,1455
1519,1455
1520,1455
1521,1455
1522,1455
1523,1456
1524,1456
1525,1456
1526,1456
1527,1457
1528,1457
1529,1457
1530,1457
1531,1458
1532,1458
1533,1458
1534,1458
1535,1459
1536,1459
1537,1459
1538,1459
1539,1460
1540,1460
1541,1460
1542,1460
1543,1460
1544,1460
1545,1460
1546,1461
1547,1461
1548,1461
1549,1461
1550,1461
1551,1461
1552,1461
1553,1461
1554,1462
1555,1462
1556,1462
1557,1462
1558,1462
1559,1462
1560,1462
1561,1462
1562,1462
1563,1463
1564,1463
1565,1463
1566,1463
1567,1463
1568,1463
1569,1463
1570,1463
1571,1463
1572,1463
1573,1464
1574,1464
1575,1464
1576,1464
1577,1464
1578,1464
1579,1464
1580,1464
1581,1464
1582,1464
